timestamp,price
2018-12-31T23:00:00+00:00,0.05
2018-12-31T23:15:00+00:00,0.051000000000000004
2018-12-31T23:30:00+00:00,0.052000000000000005
2018-12-31T23:45:00+00:00,0.053000000000000005
2019-01-01T00:00:00+00:00,0.054000000000000006
2019-01-01T00:15:00+00:00,0.055
2019-01-01T00:30:00+00:00,0.056
2019-01-01T00:45:00+00:00,0.057
2019-01-01T01:00:00+00:00,0.058
2019-01-01T01:15:00+00:00,0.059000000000000004
2019-01-01T01:30:00+00:00,0.060000000000000005
2019-01-01T01:45:00+00:00,0.061
2019-12-31T23:00:00+00:00,0.060000000000000005
2019-12-31T23:15:00+00:00,0.061000000000000006
2019-12-31T23:30:00+00:00,0.062000000000000006
2019-12-31T23:45:00+00:00,0.063
2020-01-01T00:00:00+00:00,0.064
2020-01-01T00:15:00+00:00,0.065
2020-01-01T00:30:00+00:00,0.066
2020-01-01T00:45:00+00:00,0.067
2020-01-01T01:00:00+00:00,0.068
2020-01-01T01:15:00+00:00,0.069
2020-01-01T01:30:00+00:00,0.07
2020-01-01T01:45:00+00:00,0.071
