timestamp,SFH12,SFH14
2018-12-31T23:00:00+00:00,1.0,1.2
2018-12-31T23:15:00+00:00,1.05,1.25
2018-12-31T23:30:00+00:00,1.1,1.3
2018-12-31T23:45:00+00:00,1.15,1.35
2019-01-01T00:00:00+00:00,1.2,1.4
2019-01-01T00:15:00+00:00,1.25,1.45
2019-01-01T00:30:00+00:00,1.3,1.5
2019-01-01T00:45:00+00:00,1.35,1.55
2019-01-01T01:00:00+00:00,1.4,1.6
2019-01-01T01:15:00+00:00,1.45,1.65
2019-01-01T01:30:00+00:00,1.5,1.7
2019-01-01T01:45:00+00:00,1.55,1.75
2019-12-31T23:00:00+00:00,1.3,1.5
2019-12-31T23:15:00+00:00,1.35,1.55
2019-12-31T23:30:00+00:00,1.4000000000000001,1.6
2019-12-31T23:45:00+00:00,1.45,1.6500000000000001
2020-01-01T00:00:00+00:00,1.5,1.7
2020-01-01T00:15:00+00:00,1.55,1.75
2020-01-01T00:30:00+00:00,1.6,1.8
2020-01-01T00:45:00+00:00,1.6500000000000001,1.85
2020-01-01T01:00:00+00:00,1.7,1.9000000000000001
2020-01-01T01:15:00+00:00,1.75,1.95
2020-01-01T01:30:00+00:00,1.8,2.0
2020-01-01T01:45:00+00:00,1.85,2.05
