timestamp,ref_east,ref_south,ref_west
2018-12-31T23:00:00+00:00,0.25,0.5,0.2
2018-12-31T23:15:00+00:00,0.26,0.52,0.21500000000000002
2018-12-31T23:30:00+00:00,0.27,0.54,0.23
2018-12-31T23:45:00+00:00,0.28,0.56,0.245
2019-01-01T00:00:00+00:00,0.29,0.58,0.26
2019-01-01T00:15:00+00:00,0.3,0.6,0.275
2019-01-01T00:30:00+00:00,0.31,0.62,0.29000000000000004
2019-01-01T00:45:00+00:00,0.32,0.64,0.305
2019-01-01T01:00:00+00:00,0.33,0.66,0.32
2019-01-01T01:15:00+00:00,0.33999999999999997,0.6799999999999999,0.335
2019-01-01T01:30:00+00:00,0.35,0.7,0.35
2019-01-01T01:45:00+00:00,0.36,0.72,0.365
2019-12-31T23:00:00+00:00,0.3,0.55,0.25
2019-12-31T23:15:00+00:00,0.31,0.5700000000000001,0.265
2019-12-31T23:30:00+00:00,0.32,0.5900000000000001,0.28
2019-12-31T23:45:00+00:00,0.33,0.6100000000000001,0.295
2020-01-01T00:00:00+00:00,0.33999999999999997,0.63,0.31
2020-01-01T00:15:00+00:00,0.35,0.65,0.325
2020-01-01T00:30:00+00:00,0.36,0.67,0.34
2020-01-01T00:45:00+00:00,0.37,0.6900000000000001,0.355
2020-01-01T01:00:00+00:00,0.38,0.7100000000000001,0.37
2020-01-01T01:15:00+00:00,0.38999999999999996,0.73,0.385
2020-01-01T01:30:00+00:00,0.39999999999999997,0.75,0.39999999999999997
2020-01-01T01:45:00+00:00,0.41,0.77,0.415
