timestamp,week_id,is_warmup,load_bus_0,load_bus_1,load_bus_2,load_bus_4,load_bus_5,load_bus_6,load_bus_7,load_bus_8,load_bus_9,load_bus_10,load_bus_11,load_bus_12,load_bus_13,pv_bus_6,pv_bus_7,pv_bus_10,pv_bus_12
2016-01-01 00:00:00,0,False,4.494742,0.576924,1.153848,4.494742,0.432693,0.96315897,0.711246,1.284212,1.9263179,0.55337,1.730772,0.131652,0.72115505,0.0,0.0,0.0,0.0
2016-01-01 00:15:00,0,False,4.4456162,1.666512,3.333024,4.4456162,1.249884,0.95263207,0.200607,1.270176,1.9052641,0.132022,4.999536,0.380952,2.08314,0.0,0.0,0.0,0.0
2016-01-01 00:30:00,0,False,5.8456163,1.673544,3.347088,5.8456163,1.2551581,1.252632,0.19149001,1.670176,2.505264,0.412922,5.0206323,0.336134,2.0919302,0.0,0.0,0.0,0.0
2016-01-01 00:45:00,0,False,5.231576,1.923076,3.846152,5.231576,1.442307,1.121052,0.19605002,1.494736,2.242104,0.255618,5.769228,0.22689,2.403845,0.0,0.0,0.0,0.0
2016-01-01 01:00:00,0,False,5.747364,1.818948,3.637896,5.747364,1.3642111,1.231578,0.22796401,1.642104,2.463156,0.216292,5.4568443,0.268908,2.273685,0.0,0.0,0.0,0.0
2016-01-01 01:15:00,0,False,4.470172,1.67214,3.34428,4.470172,1.254105,0.95789397,0.223404,1.277192,1.9157879,0.207866,5.01642,0.282914,2.090175,0.0,0.0,0.0,0.0
2016-01-01 01:30:00,0,False,4.39649,1.60882,3.21764,4.39649,1.206615,0.942105,0.18693,1.25614,1.88421,0.235956,4.82646,0.20168,2.011025,0.0,0.0,0.0,0.0
2016-01-01 01:45:00,0,False,4.998742,1.56332,3.12664,4.998742,1.17249,1.071159,0.19149001,1.428212,2.142318,0.188202,4.68996,0.184874,1.9541501,0.0,0.0,0.0,0.0
2016-01-01 02:00:00,0,False,5.01053,1.353188,2.706376,5.01053,1.014891,1.0736849,0.15957299,1.43158,2.1473699,0.16854,4.059564,0.17647,1.691485,0.0,0.0,0.0,0.0
2016-01-01 02:15:00,0,False,4.753126,1.134148,2.268296,4.753126,0.850611,1.018527,0.145896,1.358036,2.037054,0.157304,3.402444,0.17647,1.417685,0.0,0.0,0.0,0.0
2016-01-01 02:30:00,0,False,4.949616,1.02486,2.04972,4.949616,0.76864505,1.060632,0.123099,1.414176,2.121264,0.16573,3.0745802,0.17647,1.281075,0.0,0.0,0.0,0.0
2016-01-01 02:45:00,0,False,4.777682,1.029548,2.059096,4.777682,0.772161,1.0237889,0.223404,1.365052,2.0475779,0.087078,3.088644,0.14846,1.2869351,0.0,0.0,0.0,0.0
2016-01-01 03:00:00,0,False,4.605748,0.996716,1.993432,4.605748,0.747537,0.986946,0.19149001,1.315928,1.973892,0.078652,2.990148,0.170868,1.245895,0.0,0.0,0.0,0.0
2016-01-01 03:15:00,0,False,3.6724238,0.899624,1.799248,3.6724238,0.674718,0.78694797,0.18236999,1.049264,1.5738959,0.064606,2.698872,0.156862,1.12453,0.0,0.0,0.0,0.0
2016-01-01 03:30:00,0,False,3.19298,0.78002,1.56004,3.19298,0.585015,0.68421,0.200607,0.91228,1.36842,0.044944,2.34006,0.140056,0.975025,0.0,0.0,0.0,0.0
2016-01-01 03:45:00,0,False,2.960146,0.73546,1.47092,2.960146,0.551595,0.634317,0.18236999,0.845756,1.268634,0.050562,2.20638,0.142858,0.919325,0.0,0.0,0.0,0.0
2016-01-01 04:00:00,0,False,2.456146,0.743432,1.486864,2.456146,0.557574,0.526317,0.20972699,0.701756,1.052634,0.08427,2.230296,0.140056,0.92929,0.0,0.0,0.0,0.0
2016-01-01 04:15:00,0,False,2.750874,0.734052,1.468104,2.750874,0.550539,0.589473,0.22796401,0.785964,1.178946,0.176966,2.202156,0.137254,0.917565,0.0,0.0,0.0,0.0
2016-01-01 04:30:00,0,False,2.32155,0.643996,1.287992,2.32155,0.482997,0.49747497,0.23708099,0.6633,0.99494994,0.213484,1.931988,0.12605,0.804995,0.0,0.0,0.0,0.0
2016-01-01 04:45:00,0,False,2.505258,0.80816,1.61632,2.505258,0.60612,0.53684103,0.23708099,0.715788,1.0736821,0.05337,2.42448,0.117648,1.0102,0.0,0.0,0.0,0.0
2016-01-01 05:00:00,0,False,2.40702,0.841932,1.683864,2.40702,0.631449,0.51579,0.346506,0.68772,1.03158,0.042134,2.525796,0.10084,1.052415,0.0,0.0,0.0,0.0
2016-01-01 05:15:00,0,False,2.554384,0.768292,1.536584,2.554384,0.576219,0.547368,0.405774,0.729824,1.094736,0.039326,2.304876,0.112044,0.960365,0.0,0.0,0.0,0.0
2016-01-01 05:30:00,0,False,2.739086,0.811444,1.622888,2.739086,0.608583,0.58694696,0.18693,0.782596,1.1738939,0.047752,2.434332,0.120448,1.014305,0.0,0.0,0.0,0.0
2016-01-01 05:45:00,0,False,2.480702,0.89118,1.78236,2.480702,0.66838497,0.531579,0.268998,0.708772,1.063158,0.061798,2.6735399,0.12325,1.1139749,0.0,0.0,0.0,0.0
2016-01-01 06:00:00,0,False,2.898252,0.811444,1.622888,2.898252,0.608583,0.621054,0.23708099,0.828072,1.242108,0.16854,2.434332,0.117648,1.014305,0.0,0.0,0.0,0.0
2016-01-01 06:15:00,0,False,2.370662,0.895872,1.791744,2.370662,0.67190397,0.507999,0.27811497,0.677332,1.015998,0.536516,2.6876159,0.078432,1.11984,0.0,0.0,0.0,0.0
2016-01-01 06:30:00,0,False,3.082954,0.7894,1.5788,3.082954,0.59204996,0.66063297,0.27811497,0.880844,1.3212659,0.477528,2.3681998,0.106442,0.98675,0.0,0.0,0.0,0.0
2016-01-01 06:45:00,0,False,5.342596,0.91698,1.83396,5.342596,0.687735,1.144842,0.214287,1.526456,2.289684,0.452248,2.75094,0.106442,1.146225,0.0,0.0,0.0,0.0
2016-01-01 07:00:00,0,False,4.78947,1.536116,3.072232,4.78947,1.152087,1.026315,0.250761,1.36842,2.05263,0.412922,4.608348,0.081232,1.920145,0.0,0.0,0.0,0.0
2016-01-01 07:15:00,0,False,5.035086,1.912756,3.825512,5.035086,1.434567,1.0789471,0.20972699,1.438596,2.1578941,0.398876,5.738268,0.14846,2.390945,0.0,0.0,0.0,0.0
2016-01-01 07:30:00,0,False,9.051364,2.067544,4.135088,9.051364,1.550658,1.9395779,0.205167,2.586104,3.8791559,0.376404,6.202632,0.109244,2.58443,0.0,0.0,0.0,0.0
2016-01-01 07:45:00,0,False,10.156636,1.829268,3.658536,10.156636,1.371951,2.176422,0.24164099,2.901896,4.352844,0.376404,5.487804,0.322128,2.2865849,0.0,0.0,0.0,0.0
2016-01-01 08:00:00,0,False,6.164914,1.701688,3.403376,6.164914,1.2762661,1.321053,0.24164099,1.761404,2.642106,0.41854,5.1050644,0.35014,2.12711,0.0,0.0,0.0,0.0
2016-01-01 08:15:00,0,False,6.3368483,2.060508,4.121016,6.3368483,1.5453811,1.3578961,0.214287,1.810528,2.7157922,0.342696,6.1815243,0.5014,2.575635,0.0,0.0,0.0,0.0
2016-01-01 08:30:00,0,False,5.035086,1.98546,3.97092,5.035086,1.489095,1.0789471,0.150456,1.438596,2.1578941,0.328652,5.95638,0.162464,2.481825,0.0,0.0,0.0,0.0
2016-01-01 08:45:00,0,False,4.4338284,2.523452,5.046904,4.4338284,1.8925891,0.950106,0.150456,1.266808,1.900212,0.398876,7.5703564,0.137254,3.154315,0.0,0.0,0.0,0.0
2016-01-01 09:00:00,0,False,5.354384,1.958256,3.916512,5.354384,1.4686921,1.147368,0.145896,1.529824,2.294736,0.421348,5.8747683,0.131652,2.44782,0.0,0.0,0.0,0.0
2016-01-01 09:15:00,0,False,5.01053,2.35366,4.70732,5.01053,1.7652451,1.0736849,0.10030499,1.43158,2.1473699,0.297752,7.0609803,0.17647,2.9420753,0.0,0.0,0.0,0.0
2016-01-01 09:30:00,0,False,6.7425957,2.305348,4.610696,6.7425957,1.7290109,1.444842,0.246201,1.926456,2.889684,0.356742,6.9160438,0.159664,2.8816848,0.0,0.0,0.0,0.0
2016-01-01 09:45:00,0,False,6.374172,1.9606,3.9212,6.374172,1.47045,1.3658941,0.19149001,1.821192,2.7317882,0.356742,5.8818,0.142858,2.45075,0.0,0.0,0.0,0.0
2016-01-01 10:00:00,0,False,6.7298284,1.94184,3.88368,6.7298284,1.45638,1.442106,0.214287,1.922808,2.884212,0.39045,5.82552,0.154062,2.4273,0.0,0.0,0.0,0.0
2016-01-01 10:15:00,0,False,8.498252,1.923076,3.846152,8.498252,1.442307,1.821054,0.145896,2.428072,3.642108,0.337078,5.769228,0.120448,2.403845,0.0,0.0,0.0,0.0
2016-01-01 10:30:00,0,False,7.491232,1.978424,3.956848,7.491232,1.4838179,1.605264,0.155016,2.140352,3.210528,0.317416,5.9352717,0.12605,2.4730299,0.0,0.0,0.0,0.0
2016-01-01 10:45:00,0,False,7.81053,2.380392,4.760784,7.81053,1.785294,1.6736851,0.173253,2.23158,3.3473701,0.429776,7.141176,0.103642,2.97549,0.0,0.0,0.0,0.0
2016-01-01 11:00:00,0,False,8.105258,2.746248,5.492496,8.105258,2.059686,1.736841,0.19605002,2.315788,3.473682,0.410112,8.238744,0.10084,3.43281,0.0,0.0,0.0,0.0
2016-01-01 11:15:00,0,False,7.430318,2.371012,4.742024,7.430318,1.778259,1.592211,0.18236999,2.122948,3.184422,0.83146,7.113036,0.103642,2.963765,0.0,0.0,0.0,0.0
2016-01-01 11:30:00,0,False,9.223298,2.49906,4.99812,9.223298,1.874295,1.9764209,0.177813,2.635228,3.9528418,1.132022,7.49718,0.103642,3.1238248,0.0,0.0,0.0,0.0
2016-01-01 11:45:00,0,False,8.412767,1.899624,3.799248,8.412767,1.424718,1.8027359,0.20972699,2.403648,3.6054718,1.314606,5.698872,0.109244,2.37453,0.0,0.0,0.0,0.0
2016-01-01 12:00:00,0,False,9.087722,2.16698,4.33396,9.087722,1.6252351,1.9473691,0.341946,2.596492,3.8947382,1.205056,6.5009403,0.095238,2.708725,0.0,0.0,0.0,0.0
2016-01-01 12:15:00,0,False,9.051364,1.85882,3.71764,9.051364,1.394115,1.9395779,0.332826,2.586104,3.8791559,1.269662,5.57646,0.12605,2.323525,0.0,0.0,0.0,0.0
2016-01-01 12:30:00,0,False,14.0,4.0,8.0,14.0,3.0,3.0,0.214287,4.0,6.0,1.050562,12.0,0.103642,5.0,0.0,0.0,0.0,0.0
2016-01-01 12:45:00,0,False,12.305258,3.257504,6.515008,12.305258,2.443128,2.636841,0.259878,3.515788,5.273682,0.752808,9.772512,0.159664,4.07188,0.0,0.0,0.0,0.0
2016-01-01 13:00:00,0,False,9.616278,2.689024,5.378048,9.616278,2.016768,2.060631,0.287235,2.747508,4.121262,0.879214,8.067072,0.145658,3.36128,0.0,0.0,0.0,0.0
