timestamp,price,load1,pv1,load2,pv2,load3,pv3,split_role,is_warmup,segment_id,week_id,quarter
2016-01-01 00:00:00,0.02386,0.55337,0.0,0.96315897,0.0,0.131652,0.0,train,False,0,-1,0
2016-01-01 00:15:00,0.02386,0.132022,0.0,0.95263207,0.0,0.380952,0.0,train,False,0,-1,0
2016-01-01 00:30:00,0.02386,0.412922,0.0,1.252632,0.0,0.336134,0.0,train,False,0,-1,0
2016-01-01 00:45:00,0.02386,0.255618,0.0,1.121052,0.0,0.22689,0.0,train,False,0,-1,0
2016-01-01 01:00:00,0.02239,0.216292,0.0,1.231578,0.0,0.268908,0.0,train,False,0,-1,0
2016-01-01 01:15:00,0.02239,0.207866,0.0,0.95789397,0.0,0.282914,0.0,train,False,0,-1,0
2016-01-01 01:30:00,0.02239,0.235956,0.0,0.942105,0.0,0.20168,0.0,train,False,0,-1,0
2016-01-01 01:45:00,0.02239,0.188202,0.0,1.071159,0.0,0.184874,0.0,train,False,0,-1,0
2016-01-01 02:00:00,0.02059,0.16854,0.0,1.0736849,0.0,0.17647,0.0,train,False,0,-1,0
2016-01-01 02:15:00,0.02059,0.157304,0.0,1.018527,0.0,0.17647,0.0,train,False,0,-1,0
2016-01-01 02:30:00,0.02059,0.16573,0.0,1.060632,0.0,0.17647,0.0,train,False,0,-1,0
2016-01-01 02:45:00,0.02059,0.087078,0.0,1.0237889,0.0,0.14846,0.0,train,False,0,-1,0
2016-01-01 03:00:00,0.01681,0.078652,0.0,0.986946,0.0,0.170868,0.0,train,False,0,-1,0
2016-01-01 03:15:00,0.01681,0.064606,0.0,0.78694797,0.0,0.156862,0.0,train,False,0,-1,0
2016-01-01 03:30:00,0.01681,0.044944,0.0,0.68421,0.0,0.140056,0.0,train,False,0,-1,0
2016-01-01 03:45:00,0.01681,0.050562,0.0,0.634317,0.0,0.142858,0.0,train,False,0,-1,0
2016-01-01 04:00:00,0.01741,0.08427,0.0,0.526317,0.0,0.140056,0.0,train,False,0,-1,0
2016-01-01 04:15:00,0.01741,0.176966,0.0,0.589473,0.0,0.137254,0.0,train,False,0,-1,0
2016-01-01 04:30:00,0.01741,0.213484,0.0,0.49747497,0.0,0.12605,0.0,train,False,0,-1,0
2016-01-01 04:45:00,0.01741,0.05337,0.0,0.53684103,0.0,0.117648,0.0,train,False,0,-1,0
2016-01-01 05:00:00,0.01702,0.042134,0.0,0.51579,0.0,0.10084,0.0,train,False,0,-1,0
2016-01-01 05:15:00,0.01702,0.039326,0.0,0.547368,0.0,0.112044,0.0,train,False,0,-1,0
2016-01-01 05:30:00,0.01702,0.047752,0.0,0.58694696,0.0,0.120448,0.0,train,False,0,-1,0
2016-01-01 05:45:00,0.01702,0.061798,0.0,0.531579,0.0,0.12325,0.0,train,False,0,-1,0
2016-01-01 06:00:00,0.01586,0.16854,0.0,0.621054,0.0,0.117648,0.0,train,False,0,-1,0
2016-01-01 06:15:00,0.01586,0.536516,0.0,0.507999,0.0,0.078432,0.0,train,False,0,-1,0
2016-01-01 06:30:00,0.01586,0.477528,0.0,0.66063297,0.0,0.106442,0.0,train,False,0,-1,0
